network,subset_size,replicate,pair_i,pair_j,delay_steps,delay_ms,observed_W_bits,observed_M_bits,observed_TDMI_bits,observed_TDMI_counts_bits,z,p_upper,n_null_valid,n_attempts
2class_local_hom,8,1,11,19,4,16.0,0.16359405568383945,0.001598730209636856,0.1651927858934763,0.16519278435773127,-1.8099795929897162,1.0,10,10
2class_local_hom,8,1,11,21,4,16.0,0.14026732326621144,-2.1191250446639387e-06,0.14026520414116678,0.14026520243017446,-2.0055021277894345,1.0,10,10
2class_local_hom,8,1,11,23,4,16.0,0.14997714319408817,0.0007251231525111645,0.15070226634659933,0.15070226508134874,-1.7553259490518842,1.0,10,10
2class_local_hom,8,1,11,26,4,16.0,0.28144202503923,0.004200029976819009,0.285642055016049,0.2856420537731499,-1.7397970927156075,1.0,10,10
2class_local_hom,8,1,12,18,4,16.0,0.04432973076383184,7.017959111244032e-05,0.04439991035494428,0.044399909573592015,-2.0603248014329414,1.0,10,10
2class_local_hom,8,1,12,19,4,16.0,0.03054289447817965,0.0007838299096956103,0.03132672438787526,0.03132672267741618,-1.952494611176474,1.0,10,10
2class_local_hom,8,1,12,21,4,16.0,0.008320827940164088,-2.6616642803400925e-05,0.008294211297360687,0.00829420984788068,-1.4389709149785048,1.0,10,10
2class_local_hom,8,1,12,23,4,16.0,0.029612341515336815,-4.124012346440331e-05,0.029571101391872412,0.029571101124109125,-2.4409465120535336,1.0,10,10
2class_local_hom,8,1,12,26,4,16.0,0.15295048068145256,0.001003696155285283,0.15395417683673784,0.15395417557727822,-1.6486874745148352,1.0,10,10
2class_local_hom,8,1,18,19,4,16.0,0.05881638702991615,-3.5772321353932934e-05,0.05878061470856222,0.058780614350262425,-3.708545539781785,1.0,10,10
2class_local_hom,8,1,18,21,4,16.0,0.03596942075912346,-3.660945497646617e-05,0.035932811304146994,0.035932809858243396,-1.9836557729389257,1.0,10,10
2class_local_hom,8,1,18,23,4,16.0,0.04393241803912906,0.018874344803047782,0.06280676284217684,0.06280676120451764,-0.17227020896496276,0.6363636363636364,10,10
2class_local_hom,8,1,18,26,4,16.0,0.18011776619659314,0.00098816797374357,0.1811059341703367,0.18110593327427704,-2.2258855230754833,1.0,10,10
2class_local_hom,8,1,19,21,4,16.0,0.022856321899041576,2.5484616216236988e-05,0.022881806515257813,0.02288180449880218,-1.6096240508196136,1.0,10,10
2class_local_hom,8,1,19,23,4,16.0,0.0440836930001664,-2.1646375300943266e-05,0.04406204662486546,0.04406204633158517,-1.6275537061150278,1.0,10,10
2class_local_hom,8,1,19,26,4,16.0,0.16585285636487712,0.0010621020642485046,0.16691495842912563,0.16691495707300094,-2.222304393978834,1.0,10,10
2class_local_hom,8,1,21,23,4,16.0,0.021360995093265944,-3.199561928926564e-05,0.02132899947397668,0.021328997950208733,-1.7512781122341274,1.0,10,10
